GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
htmlcompressor,com.googlecode.htmlcompressor.taglib,CssCompressorTag,5,69,0,2,2,23,0,6,0,5
htmlcompressor,com.googlecode.htmlcompressor.taglib,JavaScriptCompressorTag,5,142,0,8,2,48,0,14,0,10
htmlcompressor,com.googlecode.htmlcompressor.taglib,XmlCompressorTag,5,67,0,0,2,22,0,6,0,6
htmlcompressor,com.googlecode.htmlcompressor.taglib,HtmlCompressorTag,5,283,1,7,2,98,1,31,0,28
htmlcompressor,jargs.gnu,CmdLineParser.OptionException,0,4,0,0,0,2,0,1,0,1
htmlcompressor,jargs.gnu,CmdLineParser.Option,8,60,1,5,2,18,2,9,1,7
htmlcompressor,jargs.gnu,CmdLineParser.IllegalOptionValueException,1,26,1,1,0,7,1,3,0,3
htmlcompressor,jargs.gnu,CmdLineParser.UnknownSuboptionException,0,13,0,0,0,4,0,2,0,2
htmlcompressor,jargs.gnu,CmdLineParser.Option.LongOption,0,21,0,0,0,7,0,3,0,3
htmlcompressor,jargs.gnu,CmdLineParser.Option.DoubleOption,13,16,0,0,4,5,1,2,1,2
htmlcompressor,jargs.gnu,CmdLineParser.Option.BooleanOption,0,11,0,0,0,4,0,2,0,2
htmlcompressor,jargs.gnu,CmdLineParser,15,349,1,37,2,85,3,35,2,17
htmlcompressor,jargs.gnu,CmdLineParser.NotFlagException,0,13,0,0,0,4,0,2,0,2
htmlcompressor,jargs.gnu,CmdLineParser.UnknownOptionException,0,16,0,0,0,6,0,3,0,3
htmlcompressor,jargs.gnu,CmdLineParser.Option.StringOption,0,13,0,0,0,5,0,3,0,3
htmlcompressor,jargs.gnu,CmdLineParser.Option.IntegerOption,5,16,0,0,2,5,1,2,1,2
htmlcompressor,com.googlecode.htmlcompressor.compressor,HtmlCompressorStatistics,0,70,0,0,0,17,0,10,0,10
htmlcompressor,com.googlecode.htmlcompressor.compressor,YuiJavaScriptCompressor.DefaultErrorReporter,84,3,8,0,12,1,7,1,3,1
htmlcompressor,com.googlecode.htmlcompressor.compressor,HtmlMetrics,0,73,0,0,0,18,0,12,0,12
htmlcompressor,com.googlecode.htmlcompressor.compressor,YuiJavaScriptCompressor,27,65,0,2,10,17,6,8,6,7
htmlcompressor,com.googlecode.htmlcompressor.compressor,HtmlCompressor,562,2140,82,184,109,543,93,136,31,65
htmlcompressor,com.googlecode.htmlcompressor.compressor,XmlCompressor,9,216,3,11,3,55,6,16,3,12
htmlcompressor,com.googlecode.htmlcompressor.compressor,YuiCssCompressor,11,35,0,0,4,10,1,4,1,4
htmlcompressor,com.googlecode.htmlcompressor.compressor,ClosureJavaScriptCompressor,69,160,6,8,23,39,16,8,11,6
htmlcompressor,com.googlecode.htmlcompressor.analyzer,HtmlAnalyzer,68,657,24,26,15,152,26,10,2,9
htmlcompressor,com.googlecode.htmlcompressor.velocity,CssCompressorDirective,20,72,0,2,5,20,0,6,0,5
htmlcompressor,com.googlecode.htmlcompressor.velocity,JavaScriptCompressorDirective,28,143,2,6,7,38,2,7,0,5
htmlcompressor,com.googlecode.htmlcompressor.velocity,XmlCompressorDirective,20,60,0,0,5,15,0,6,0,6
htmlcompressor,com.googlecode.htmlcompressor.velocity,HtmlCompressorDirective,58,178,7,1,15,42,4,6,0,6
htmlcompressor,com.googlecode.htmlcompressor,CmdLineCompressor.CompressorFileFilter,3,92,3,11,1,17,3,6,0,2
htmlcompressor,com.googlecode.htmlcompressor,CmdLineCompressor,182,1290,38,98,40,253,28,54,0,14
